Stage,Date,Year,Month,Day,Distance,Origin,Destination,Type,Winner,Winner_Country
20,2014-07-26,2014,7,26,54.0,Bergerac,Périgueux,Individual time trial,Tony Martin,GER
21,2014-07-27,2014,7,27,137.5,Évry,Paris,Flat stage,Marcel Kittel,GER
1,2013-06-29,2013,6,29,213.0,Porto-Vecchio,Bastia,Flat stage,Marcel Kittel,GER
2,2013-06-30,2013,6,30,156.0,Bastia,Ajaccio,Medium mountain stage,Jan Bakelants,BEL
3,2013-07-01,2013,7,1,145.5,Ajaccio,Calvi,Medium mountain stage,Simon Gerrans,AUS
4,2013-07-02,2013,7,2,25.0,Nice,Nice,Team time trial,Orica–GreenEDGE,
5,2013-07-03,2013,7,3,228.5,Cagnes-sur-Mer,Marseille,Flat stage,Mark Cavendish,GBR
6,2013-07-04,2013,7,4,176.5,Aix-en-Provence,Montpellier,Flat stage,André Greipel,GER
7,2013-07-05,2013,7,5,205.5,Montpellier,Albi,Flat stage,Peter Sagan,SVK
8,2013-07-06,2013,7,6,195.0,Castres,Ax 3 Domaines,High mountain stage,Chris Froome,GBR
9,2013-07-07,2013,7,7,168.5,Saint-Girons,Bagnères-de-Bigorre,High mountain stage,Dan Martin,IRL
10,2013-07-09,2013,7,9,197.0,Saint-Gildas-des-Bois,Saint-Malo,Flat stage,Marcel Kittel,GER
11,2013-07-10,2013,7,10,33.0,Avranches,Mont Saint-Michel,Individual time trial,Tony Martin,GER
12,2013-07-11,2013,7,11,218.0,Fougères,Tours,Flat stage,Marcel Kittel,GER
13,2013-07-12,2013,7,12,173.0,Tours,Saint-Amand-Montrond,Flat stage,Mark Cavendish,GBR
14,2013-07-13,2013,7,13,191.0,Saint-Pourçain-sur-Sioule,Lyon,Medium mountain stage,Matteo Trentin,ITA
15,2013-07-14,2013,7,14,242.5,Givors,Mont Ventoux,High mountain stage,Chris Froome,GBR
16,2013-07-16,2013,7,16,168.0,Vaison-la-Romaine,Gap,High mountain stage,Rui Costa,POR
17,2013-07-17,2013,7,17,32.0,Embrun,Chorges,Individual time trial,Chris Froome,GBR
18,2013-07-18,2013,7,18,172.5,Gap,Alpe d'Huez,High mountain stage,Christophe Riblon,FRA
19,2013-07-19,2013,7,19,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,High mountain stage,Rui Costa,POR
20,2013-07-20,2013,7,20,125.0,Annecy,Semnoz,High mountain stage,Nairo Quintana,COL
21,2013-07-21,2013,7,21,133.5,Versailles,Paris,Flat stage,Marcel Kittel,GER
P,2012-06-30,2012,6,30,6.4,Liège,Liège,Individual time trial,Fabian Cancellara,SUI
1,2012-07-01,2012,7,1,198.0,Liège,Seraing,Flat stage,Peter Sagan,SVK
2,2012-07-02,2012,7,2,207.5,Visé,Tournai,Flat stage,Mark Cavendish,GBR
3,2012-07-03,2012,7,3,197.0,Orchies,Boulogne-sur-Mer,Medium mountain stage,Peter Sagan,SVK
4,2012-07-04,2012,7,4,214.5,Abbeville,Rouen,Flat stage,André Greipel,GER
5,2012-07-05,2012,7,5,196.5,Rouen,Saint-Quentin,Flat stage,André Greipel,GER
6,2012-07-06,2012,7,6,207.5,Épernay,Metz,Flat stage,Peter Sagan,SVK
7,2012-07-07,2012,7,7,199.0,Tomblaine,La Planche des Belles Filles,Medium mountain stage,Chris Froome,GBR
8,2012-07-08,2012,7,8,157.5,Belfort,Porrentruy,Medium mountain stage,Thibaut Pinot,FRA
9,2012-07-09,2012,7,9,41.5,Arc-et-Senans,Besançon,Individual time trial,Bradley Wiggins,GBR
10,2012-07-11,2012,7,11,194.5,Mâcon,Bellegarde-sur-Valserine,High mountain stage,Thomas Voeckler,FRA
11,2012-07-12,2012,7,12,148.0,Albertville,La Toussuire-Les Sybelles,High mountain stage,Pierre Rolland,FRA
12,2012-07-13,2012,7,13,226.0,Saint-Jean-de-Maurienne,Annonay-Davézieux,Medium mountain stage,David Millar,GBR
13,2012-07-14,2012,7,14,217.0,Saint-Paul-Trois-Châteaux,Cap d'Agde,Flat stage,André Greipel,GER
14,2012-07-15,2012,7,15,191.0,Limoux,Foix,High mountain stage,Luis León Sánchez,ESP
15,2012-07-16,2012,7,16,158.5,Samatan,Pau,Flat stage,Pierrick Fédrigo,FRA
16,2012-07-18,2012,7,18,197.0,Pau,Bagnères-de-Luchon,High mountain stage,Thomas Voeckler,FRA
17,2012-07-19,2012,7,19,143.5,Bagnères-de-Luchon,Peyragudes,High mountain stage,Alejandro Valverde,ESP
18,2012-07-20,2012,7,20,222.5,Blagnac,Brive-la-Gaillarde,Flat stage,Mark Cavendish,GBR
19,2012-07-21,2012,7,21,53.5,Bonneval,Chartres,Individual time trial,Bradley Wiggins,GBR
20,2012-07-22,2012,7,22,120.0,Rambouillet,Paris,Flat stage,Mark Cavendish,GBR
1,2011-07-02,2011,7,2,191.5,Passage du Gois,Mont des Alouettes,Flat stage,Philippe Gilbert,BEL
2,2011-07-03,2011,7,3,23.0,Les Essarts,Les Essarts,Team time trial,Garmin–Cervélo,
3,2011-07-04,2011,7,4,198.0,Olonne-sur-Mer,Redon,Flat stage,Tyler Farrar,USA
4,2011-07-05,2011,7,5,172.5,Lorient,Mûr-de-Bretagne,Flat stage,Cadel Evans,AUS
5,2011-07-06,2011,7,6,164.5,Carhaix,Cap Fréhel,Flat stage,Mark Cavendish,GBR
