,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
172557,Gavin Noble,M,31.0,186.0,75.0,Ireland,IRL,London,Triathlon,Triathlon Men's Olympic Distance,0,0,0
172574,Zofia Noceti-Klepacka,F,26.0,170.0,59.0,Poland,POL,London,Sailing,Sailing Women's Windsurfer,1,0,0
172578,Anderson Nocetti,M,38.0,189.0,90.0,Brazil,BRA,London,Rowing,Rowing Men's Single Sculls,0,0,0
172581,Melanie Nocher,F,24.0,179.0,67.0,Ireland,IRL,London,Swimming,Swimming Women's 100 metres Backstroke,0,0,0
172582,Melanie Nocher,F,24.0,179.0,67.0,Ireland,IRL,London,Swimming,Swimming Women's 200 metres Backstroke,0,0,0
172585,Andrs Marcelo Nocioni Roux,M,32.0,201.0,102.0,Argentina,ARG,London,Basketball,Basketball Men's Basketball,0,0,0
172643,Mlanie Marie Anna Nol-Bardis,F,26.0,160.0,48.0,France,FRA,London,Weightlifting,Weightlifting Women's Flyweight,0,0,0
172646,Nikolay Noev,M,24.0,166.0,55.0,Tajikistan,TJK,London,Wrestling,"Wrestling Men's Featherweight, Freestyle",0,0,0
172647,Mohamed Abdulrahman Al-Sayyid Nofel,M,27.0,180.0,71.0,Egypt,EGY,London,Rowing,Rowing Men's Lightweight Double Sculls,0,0,0
172650,Artur Noga,M,24.0,196.0,82.0,Poland,POL,London,Athletics,Athletics Men's 110 metres Hurdles,0,0,0
172697,Nozomi Nokano-Sato,F,26.0,173.0,61.0,Japan,JPN,London,Fencing,"Fencing Women's epee, Individual",0,0,0
172701,Adam Nolan,M,25.0,184.0,,Ireland,IRL,London,Boxing,Boxing Men's Welterweight,0,0,0
172702,Errol Osbourne Nolan,M,20.0,178.0,77.0,Jamaica,JAM,London,Athletics,Athletics Men's 4 x 400 metres Relay,0,0,0
172792,Allen Dorian Nono,M,19.0,172.0,74.0,Gabon,GAB,London,Football,Football Men's Football,0,0,0
172806,Daniel Noonan,M,32.0,187.0,90.0,Australia,AUS,London,Rowing,Rowing Men's Quadruple Sculls,1,0,0
172807,Emad Hamed Mohamed Noor,M,22.0,179.0,60.0,Saudi Arabia,KSA,London,Athletics,"Athletics Men's 1,500 metres",0,0,0
172873,"Elina Elisabeth ""Lisa"" Nordn",F,27.0,176.0,60.0,Sweden,SWE,London,Triathlon,Triathlon Women's Olympic Distance,0,0,1
172879,Sara Maria Evelina Nordenstam,F,29.0,169.0,70.0,Norway,NOR,London,Swimming,Swimming Women's 200 metres Breaststroke,0,0,0
172880,Sara Maria Evelina Nordenstam,F,29.0,169.0,70.0,Norway,NOR,London,Swimming,Swimming Women's 400 metres Individual Medley,0,0,0
172895,Lars Petter Nordhaug,M,28.0,176.0,65.0,Norway,NOR,London,Cycling,"Cycling Men's Road Race, Individual",0,0,0
172926,Karin Josefin Nordlw,F,30.0,171.0,65.0,Sweden,SWE,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",0,0,0
173050,Omid Haji Norouzi,M,26.0,175.0,70.0,Iran,IRI,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",0,1,0
173084,Lloyd Norris-Jones,M,26.0,181.0,76.0,South Africa,RSA,London,Hockey,Hockey Men's Hockey,0,0,0
173157,Anja Noske,F,26.0,171.0,57.0,Germany,GER,London,Rowing,Rowing Women's Lightweight Double Sculls,0,0,0
173164,Yana Sergeyevna Noskova,F,18.0,163.0,59.0,Russia,RUS,London,Table Tennis,Table Tennis Women's Singles,0,0,0
173263,Nadia Noujani,F,30.0,164.0,46.0,Morocco,MAR,London,Athletics,"Athletics Women's 5,000 metres",0,0,0
173266,Mlonin Noumonvi,M,29.0,187.0,84.0,France,FRA,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",0,0,0
173289,Abdelatif Noussir,M,22.0,174.0,70.0,Morocco,MAR,London,Football,Football Men's Football,0,0,0
173354,Marko Novakovi,M,23.0,186.0,95.0,Serbia,SRB,London,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",0,0,0
173388,Marina Mikhaylovna Novik,F,28.0,168.0,60.0,Belarus,BLR,London,Athletics,Athletics Women's Javelin Throw,0,0,0
173402,Nikolay Anatolyevich Novikov,M,26.0,170.0,88.0,Belarus,BLR,London,Weightlifting,Weightlifting Men's Light-Heavyweight,0,0,0
173443,Anastasiya Aleksandrovna Novikova,F,30.0,150.0,53.0,Belarus,BLR,London,Weightlifting,Weightlifting Women's Lightweight,0,0,0
173480,Nikolai Novosjolov,M,32.0,191.0,93.0,Estonia,EST,London,Fencing,"Fencing Men's epee, Individual",0,0,0
173523,Roman Novotn,M,26.0,180.0,73.0,Czech Republic,CZE,London,Athletics,Athletics Men's Long Jump,0,0,0
173526,Iryna Oleksandrivna Novozhylova,F,26.0,175.0,90.0,Ukraine,UKR,London,Athletics,Athletics Women's Hammer Throw,0,0,0
173574,ukasz Nowak,M,23.0,194.0,76.0,Poland,POL,London,Athletics,Athletics Men's 50 kilometres Walk,0,0,0
173609,Piotr Nowakowski,M,24.0,205.0,90.0,Poland,POL,London,Volleyball,Volleyball Men's Volleyball,0,0,0
173700,Ann Grete Nrgaard,F,28.0,163.0,58.0,Denmark,DEN,London,Handball,Handball Women's Handball,0,0,0
173702,Allan Nrregaard Christensen,M,31.0,173.0,67.0,Denmark,DEN,London,Sailing,Sailing Men's Skiff,1,0,0
173707,Tonje Nstvold,F,27.0,178.0,,Norway,NOR,London,Handball,Handball Women's Handball,0,1,0
173729,Salomo Salum Sutani N'tuve,M,23.0,181.0,52.0,Sweden,SWE,London,Boxing,Boxing Men's Flyweight,0,0,0
173737,Odette Ntahomvukiye,F,18.0,,77.0,Burundi,BDI,London,Judo,Judo Women's Half-Heavyweight,0,0,0
173754,Isaac Ntiamoah,M,29.0,172.0,75.0,Australia,AUS,London,Athletics,Athletics Men's 4 x 100 metres Relay,0,0,0
173763,Marry Nnana Ntsweng,F,22.0,155.0,49.0,South Africa,RSA,London,Football,Football Women's Football,0,0,0
173792,Diane Nukuri-Johnson,F,27.0,183.0,59.0,Burundi,BDI,London,Athletics,Athletics Women's Marathon,0,0,0
173805,Joelle Numainville,F,24.0,175.0,65.0,Canada,CAN,London,Cycling,"Cycling Women's Road Race, Individual",0,0,0
173820,Reinder Aart Nummerdor,M,35.0,194.0,88.0,Netherlands,NED,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,0,0,0
173845,Miguel Silveira Viana Marques Nunes,M,35.0,180.0,72.0,Portugal,POR,London,Sailing,Sailing Men's Two Person Dinghy,0,0,0
173886,Sidarka Nez de Los Milagros,F,28.0,180.0,62.0,Dominican Republic,DOM,London,Volleyball,Volleyball Women's Volleyball,0,0,0
173890,Yasser Omar Nez Mungua,M,28.0,170.0,68.0,Nicaragua,NCA,London,Swimming,Swimming Men's 100 metres Freestyle,0,0,0
173899,John Hamilton Nunn,M,34.0,188.0,78.0,United States,USA,London,Athletics,Athletics Men's 50 kilometres Walk,0,0,0
173942,Hajimurad Nurmagomedov,M,25.0,173.0,84.0,Armenia,ARM,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,0,0
173977,Anna Sagtanovna Nurmukhambetova,F,18.0,165.0,69.0,Kazakhstan,KAZ,London,Weightlifting,Weightlifting Women's Light-Heavyweight,0,0,0
173982,Selim Nurudeen,M,29.0,190.0,77.0,Nigeria,NGR,London,Athletics,Athletics Men's 110 metres Hurdles,0,0,0
173983,Ruslan Nurudinov,M,20.0,183.0,109.0,Uzbekistan,UZB,London,Weightlifting,Weightlifting Men's Heavyweight,0,0,0
174078,Nyambayaryn Tgstsogt,M,20.0,168.0,52.0,Mongolia,MGL,London,Boxing,Boxing Men's Flyweight,0,0,1
174089,"Nompumelelo ""Mpumi"" Nyandeni",F,24.0,163.0,53.0,South Africa,RSA,London,Football,Football Women's Football,0,0,0
174094,Nyantayn Bayaraa,M,20.0,176.0,66.0,Mongolia,MGL,London,Shooting,"Shooting Men's Air Rifle, 10 metres",0,0,0
174095,Nyantayn Bayaraa,M,20.0,176.0,66.0,Mongolia,MGL,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0,0,0
174096,Nyantayn Bayaraa,M,20.0,176.0,66.0,Mongolia,MGL,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0,0,0
174111,Cuthbert Nyasango,M,29.0,163.0,56.0,Zimbabwe,ZIM,London,Athletics,Athletics Men's Marathon,0,0,0
174169,Hkan Erik Nyblom,M,30.0,158.0,55.0,Denmark,DEN,London,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",0,0,0
174211,Anja Nyffeler,F,19.0,172.0,55.0,Switzerland,SUI,London,Synchronized Swimming,Synchronized Swimming Women's Duet,0,0,0
174227,Tory Nyhaug-Heinonen,M,20.0,185.0,92.0,Canada,CAN,London,Cycling,Cycling Men's BMX,0,0,0
174307,Marcus Victor Jan Nyman,M,21.0,189.0,90.0,Sweden,SWE,London,Judo,Judo Men's Middleweight,0,0,0
174330,Trond Nymark,M,35.0,180.0,66.0,Norway,NOR,London,Athletics,Athletics Men's 50 kilometres Walk,0,0,0
174349,Sven Nys,M,36.0,181.0,71.0,Belgium,BEL,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",0,0,0
174363,Stefan Ernst Nystrand,M,30.0,193.0,85.0,Sweden,SWE,London,Swimming,Swimming Men's 50 metres Freestyle,0,0,0
174364,Stefan Ernst Nystrand,M,30.0,193.0,85.0,Sweden,SWE,London,Swimming,Swimming Men's 100 metres Freestyle,0,0,0
174383,Carolin Nytra (-Dietrich),F,27.0,175.0,61.0,Germany,GER,London,Athletics,Athletics Women's 100 metres Hurdles,0,0,0
174389,Stvy Guevane Nzamb,M,20.0,173.0,70.0,Gabon,GAB,London,Football,Football Men's Football,0,0,0
174393,Madias Dodo Nzesso Ngake,F,20.0,164.0,75.0,Cameroon,CMR,London,Weightlifting,Weightlifting Women's Heavyweight,0,0,0
174399,O Chang-Ran,F,19.0,172.0,66.0,North Korea,PRK,London,Football,Football Women's Football,0,0,0
174403,O Dae-Geun,M,30.0,174.0,76.0,South Korea,KOR,London,Hockey,Hockey Men's Hockey,0,0,0
174406,O Eun-Seok,M,29.0,181.0,76.0,South Korea,KOR,London,Fencing,"Fencing Men's Sabre, Team",0,1,0
174415,O Hui-Sun,F,18.0,161.0,59.0,North Korea,PRK,London,Football,Football Women's Football,0,0,0
174419,O Jae-Seok,M,22.0,178.0,73.0,South Korea,KOR,London,Football,Football Men's Football,1,0,0
174432,O Sang-Eun,M,35.0,186.0,72.0,South Korea,KOR,London,Table Tennis,Table Tennis Men's Singles,0,0,0
174433,O Sang-Eun,M,35.0,186.0,72.0,South Korea,KOR,London,Table Tennis,Table Tennis Men's Team,0,0,1
174469,Debora Oakley Gonzlez,F,31.0,186.0,72.0,Mexico,MEX,London,Rowing,Rowing Women's Single Sculls,0,0,0
174479,Colin Stephen Oates,M,29.0,181.0,66.0,Great Britain,GBR,London,Judo,Judo Men's Half-Lightweight,0,0,0
174483,Lyndal Oatley,F,32.0,176.0,61.0,Australia,AUS,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",0,0,0
174484,Lyndal Oatley,F,32.0,176.0,61.0,Australia,AUS,London,Equestrianism,"Equestrianism Mixed Dressage, Team",0,0,0
174491,Kristy Oatley-Nist,F,34.0,170.0,56.0,Australia,AUS,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",0,0,0
174492,Kristy Oatley-Nist,F,34.0,170.0,56.0,Australia,AUS,London,Equestrianism,"Equestrianism Mixed Dressage, Team",0,0,0
174578,Anthony Obame Mylann,M,23.0,190.0,97.0,Gabon,GAB,London,Taekwondo,Taekwondo Men's Heavyweight,0,0,1
174584,Hitomi Obara (Sakamoto-),F,31.0,156.0,48.0,Japan,JPN,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",0,1,0
174589,Derrick Osamuyi Obasohan,M,31.0,198.0,,Nigeria,NGR,London,Basketball,Basketball Men's Basketball,0,0,0
174610,Patricia Obee,F,20.0,165.0,60.0,Canada,CAN,London,Rowing,Rowing Women's Lightweight Double Sculls,0,0,0
174630,Maksim Vladimirovich Oberemko,M,34.0,186.0,73.0,Ukraine,UKR,London,Sailing,Sailing Men's Windsurfer,0,0,0
174652,Christina Obergfll,F,30.0,175.0,79.0,Germany,GER,London,Athletics,Athletics Women's Javelin Throw,0,0,1
174695,Stephanie Beatrix Obermoser,F,23.0,161.0,55.0,Austria,AUT,London,Shooting,"Shooting Women's Air Rifle, 10 metres",0,0,0
174696,Stephanie Beatrix Obermoser,F,23.0,161.0,55.0,Austria,AUT,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0,0,0
174710,Swann Gabrielle Oberson,F,25.0,183.0,67.0,Switzerland,SUI,London,Swimming,Swimming Women's 10 kilometres Open Water,0,0,0
174745,Amarachi Favour Obiajunwa,F,22.0,170.0,70.0,Nigeria,NGR,London,Wrestling,"Wrestling Women's Heavyweight, Freestyle",0,0,0
174748,Landry Jerry Obiang Obiang,M,20.0,168.0,63.0,Gabon,GAB,London,Football,Football Men's Football,0,0,0
174749,Mercy Apondi Obiero,F,33.0,165.0,68.0,Kenya,KEN,London,Weightlifting,Weightlifting Women's Light-Heavyweight,0,0,0
174763,Hellen Onsando Obiri,F,22.0,160.0,50.0,Kenya,KEN,London,Athletics,"Athletics Women's 1,500 metres",0,0,0
174777,Helmut Oblinger,M,39.0,180.0,70.0,Austria,AUT,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",0,0,0
174782,Yelena Aleksandrovna Oblova,F,24.0,178.0,71.0,Russia,RUS,London,Sailing,Sailing Women's Three Person Keelboat,0,0,0
174783,Aleksey Aleksandrovich Obmochayev,M,23.0,188.0,90.0,Russia,RUS,London,Volleyball,Volleyball Men's Volleyball,0,1,0
174794,Blessing Oborududu,F,23.0,163.0,63.0,Nigeria,NGR,London,Wrestling,"Wrestling Women's Middleweight, Freestyle",0,0,0
174798,Paulo Obradovi,M,26.0,190.0,100.0,Croatia,CRO,London,Water Polo,Water Polo Men's Water Polo,0,1,0
174813,Darlenis Obregn Mulato,F,26.0,168.0,58.0,Colombia,COL,London,Athletics,Athletics Women's 4 x 100 metres Relay,0,0,0
174900,Caroline Teresa O'Connor,F,29.0,157.0,48.0,Great Britain,GBR,London,Rowing,Rowing Women's Coxed Eights,0,0,0
174903,Cian O'Connor,M,32.0,176.0,74.0,Ireland,IRL,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",1,0,0
174938,Siobhan-Marie O'Connor,F,16.0,173.0,60.0,Great Britain,GBR,London,Swimming,Swimming Women's 100 metres Breaststroke,0,0,0
174939,Siobhan-Marie O'Connor,F,16.0,173.0,60.0,Great Britain,GBR,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,0,0,0
174975,Diego Occhiuzzi,M,31.0,180.0,76.0,Italy,ITA,London,Fencing,"Fencing Men's Sabre, Individual",0,0,1
174976,Diego Occhiuzzi,M,31.0,180.0,76.0,Italy,ITA,London,Fencing,"Fencing Men's Sabre, Team",1,0,0
174979,Glenn Ochal,M,26.0,194.0,95.0,United States,USA,London,Rowing,Rowing Men's Coxless Fours,1,0,0
174992,Sofya Albertovna Ochigava,F,25.0,170.0,60.0,Russia,RUS,London,Boxing,Boxing Women's Lightweight,0,0,1
174994,Ochirbatyn Burmaa,F,30.0,175.0,72.0,Mongolia,MGL,London,Wrestling,"Wrestling Women's Heavyweight, Freestyle",0,0,0
175035,"Edward ""Eddie"" Ockenden",M,25.0,180.0,73.0,Australia,AUS,London,Hockey,Hockey Men's Hockey,1,0,0
175054,Carl O'Donnell,M,25.0,188.0,85.0,New Zealand,NZL,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,0
175061,"Kathleen ""Katie"" O'Donnell-Bam",F,23.0,155.0,54.0,United States,USA,London,Hockey,Hockey Women's Hockey,0,0,0
175126,Tjaa Oder,F,18.0,180.0,65.0,Slovenia,SLO,London,Swimming,Swimming Women's 800 metres Freestyle,0,0,0
175181,Mikel Odriozola Domnguez,M,39.0,178.0,66.0,Spain,ESP,London,Athletics,Athletics Men's 50 kilometres Walk,0,0,0
175188,"Muizat Ajoke ""AJ"" Odumosu Alademerin",F,24.0,165.0,59.0,Nigeria,NGR,London,Athletics,Athletics Women's 400 metres Hurdles,0,0,0
175189,"Muizat Ajoke ""AJ"" Odumosu Alademerin",F,24.0,165.0,59.0,Nigeria,NGR,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,0
175264,Jennifer Oeser,F,28.0,175.0,68.0,Germany,GER,London,Athletics,Athletics Women's Heptathlon,0,0,0
175283,Derek O'Farrell,M,29.0,191.0,85.0,Canada,CAN,London,Rowing,Rowing Men's Coxless Fours,0,0,0
175294,Katharina Offel,F,35.0,166.0,56.0,Ukraine,UKR,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",0,0,0
175295,Katharina Offel,F,35.0,166.0,56.0,Ukraine,UKR,London,Equestrianism,"Equestrianism Mixed Jumping, Team",0,0,0
175309,Ben Offereins,M,26.0,184.0,76.0,Australia,AUS,London,Athletics,Athletics Men's 4 x 400 metres Relay,0,0,0
175350,Stuart Peter O'Grady,M,38.0,177.0,71.0,Australia,AUS,London,Cycling,"Cycling Men's Road Race, Individual",0,0,0
175361,Jolanta Ogar,F,30.0,178.0,68.0,Poland,POL,London,Sailing,Sailing Women's Two Person Dinghy,0,0,0
175370,Akari Ogata,F,21.0,171.0,76.0,Japan,JPN,London,Judo,Judo Women's Half-Heavyweight,0,0,0
175459,Maja Ognjenovi,F,27.0,183.0,67.0,Serbia,SRB,London,Volleyball,Volleyball Women's Volleyball,0,0,0
175464,Anthony Osezua Ojo Ogogo,M,23.0,181.0,,Great Britain,GBR,London,Boxing,Boxing Men's Middleweight,1,0,0
175465,Edith Ogoke,F,21.0,,75.0,Nigeria,NGR,London,Boxing,Boxing Women's Middleweight,0,0,0
175477,Andreea Luiza Ogrzeanu,F,22.0,179.0,64.0,Romania,ROU,London,Athletics,Athletics Women's 100 metres,0,0,0
175478,Andreea Luiza Ogrzeanu,F,22.0,179.0,64.0,Romania,ROU,London,Athletics,Athletics Women's 200 metres,0,0,0
175480,Chamberlain Nnaemeka Oguchi,M,26.0,198.0,90.0,Nigeria,NGR,London,Basketball,Basketball Men's Basketball,0,0,0
175527,Kelley Maureen O'Hara,F,23.0,165.0,58.0,United States,USA,London,Football,Football Women's Football,0,1,0
175539,Jenna O'Hea,F,25.0,186.0,76.0,Australia,AUS,London,Basketball,Basketball Women's Basketball,1,0,0
175542,Oh Ha-Na,F,27.0,175.0,65.0,South Korea,KOR,London,Fencing,"Fencing Women's Foil, Team",1,0,0
175545,Oh Jin-Hyek,M,30.0,182.0,100.0,South Korea,KOR,London,Archery,Archery Men's Individual,0,1,0
175546,Oh Jin-Hyek,M,30.0,182.0,100.0,South Korea,KOR,London,Archery,Archery Men's Team,1,0,0
175577,Takahiro Ohgihara,M,20.0,184.0,71.0,Japan,JPN,London,Football,Football Men's Football,0,0,0
175650,Asumi Ohmura,F,22.0,167.0,62.0,Japan,JPN,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",0,0,0
175666,Shinobu Ohno,F,28.0,154.0,51.0,Japan,JPN,London,Football,Football Women's Football,0,0,1
175700,Christine Ijeoma Chika Ohuruogu,F,28.0,172.0,70.0,Great Britain,GBR,London,Athletics,Athletics Women's 400 metres,0,0,1
175701,Christine Ijeoma Chika Ohuruogu,F,28.0,172.0,70.0,Great Britain,GBR,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,0
175741,Yoshiaki Oiwa,M,36.0,170.0,67.0,Japan,JPN,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",0,0,0
175742,Yoshiaki Oiwa,M,36.0,170.0,67.0,Japan,JPN,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",0,0,0
175793,Jos Leyver Ojeda Blas,M,26.0,164.0,60.0,Mexico,MEX,London,Athletics,Athletics Men's 50 kilometres Walk,0,0,0
175815,Michael Peter O'Keeffe,M,21.0,180.0,,New Zealand,NZL,London,Football,Football Men's Football,0,0,0
175865,Blessing Okagbare (-Ighoteguonor),F,23.0,181.0,71.0,Nigeria,NGR,London,Athletics,Athletics Women's 100 metres,0,0,0
175866,Blessing Okagbare (-Ighoteguonor),F,23.0,181.0,71.0,Nigeria,NGR,London,Athletics,Athletics Women's 4 x 100 metres Relay,0,0,0
175867,Blessing Okagbare (-Ighoteguonor),F,23.0,181.0,71.0,Nigeria,NGR,London,Athletics,Athletics Women's Long Jump,0,0,0
175960,Tosin Oke,M,31.0,179.0,78.0,Nigeria,NGR,London,Athletics,Athletics Men's Triple Jump,0,0,0
175985,Poliana Okimoto-Cintra,F,29.0,165.0,52.0,Brazil,BRA,London,Swimming,Swimming Women's 10 kilometres Open Water,0,0,0
176020,Rena-Flor Okori,F,32.0,163.0,56.0,France,FRA,London,Athletics,Athletics Women's 100 metres Hurdles,0,0,0
176038,Rosevitha Okou,F,25.0,165.0,62.0,Cote d'Ivoire,CIV,London,Athletics,Athletics Women's 100 metres Hurdles,0,0,0
176040,Lawrence Amaechi A. Okoye,M,20.0,197.0,129.0,Great Britain,GBR,London,Athletics,Athletics Men's Discus Throw,0,0,0
176048,Ezinne Okparaebo,F,24.0,164.0,56.0,Norway,NOR,London,Athletics,Athletics Women's 100 metres,0,0,0
176049,Ezinne Okparaebo,F,24.0,164.0,56.0,Norway,NOR,London,Athletics,Athletics Women's 200 metres,0,0,0
176054,Adam Okruashvili,M,23.0,189.0,130.0,Georgia,GEO,London,Judo,Judo Men's Heavyweight,0,0,0
176134,Peter O'Leary,M,29.0,188.0,88.0,Ireland,IRL,London,Sailing,Sailing Men's Two Person Keelboat,0,0,0
176136,Ciaran O'Lionaird,M,24.0,,,Ireland,IRL,London,Athletics,"Athletics Men's 1,500 metres",0,0,0
176141,Leire Olaberria Dorronsoro,F,35.0,172.0,61.0,Spain,ESP,London,Cycling,Cycling Women's Omnium,0,0,0
176183,Bibiana Martina Olama Mangue,F,29.0,176.0,68.0,Equatorial Guinea,GEQ,London,Athletics,Athletics Women's 100 metres Hurdles,0,0,0
176203,Dan Olaru,M,15.0,175.0,70.0,Moldova,MDA,London,Archery,Archery Men's Individual,0,0,0
176259,Mark Oldershaw,M,29.0,186.0,94.0,Canada,CAN,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",1,0,0
176270,Sam Joshua Oldham,M,19.0,168.0,62.0,Great Britain,GBR,London,Gymnastics,Gymnastics Men's Team All-Around,1,0,0
176271,Sam Joshua Oldham,M,19.0,168.0,62.0,Great Britain,GBR,London,Gymnastics,Gymnastics Men's Floor Exercise,0,0,0
176272,Sam Joshua Oldham,M,19.0,168.0,62.0,Great Britain,GBR,London,Gymnastics,Gymnastics Men's Parallel Bars,0,0,0
176273,Sam Joshua Oldham,M,19.0,168.0,62.0,Great Britain,GBR,London,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,0
176274,Sam Joshua Oldham,M,19.0,168.0,62.0,Great Britain,GBR,London,Gymnastics,Gymnastics Men's Rings,0,0,0
176279,Shelley Olds (-Evans-),F,31.0,157.0,55.0,United States,USA,London,Cycling,"Cycling Women's Road Race, Individual",0,0,0
176329,Claus Elsborg Olesen,M,37.0,193.0,105.0,Denmark,DEN,London,Sailing,Sailing Men's Two Person Keelboat,0,0,0
176365,Ercment Olgundeniz,M,36.0,198.0,145.0,Turkey,TUR,London,Athletics,Athletics Men's Discus Throw,0,0,0
176370,Anna Marta Olichwierczuk-Jesie,F,33.0,168.0,56.0,Poland,POL,London,Athletics,Athletics Women's 400 metres Hurdles,0,0,0
176371,Anna Marta Olichwierczuk-Jesie,F,33.0,168.0,56.0,Poland,POL,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,0
176420,Roc Oliva Isern,M,23.0,180.0,78.0,Spain,ESP,London,Hockey,Hockey Men's Hockey,0,0,0
176441,Fernanda Ryff Moreira Oliveira,F,31.0,161.0,54.0,Brazil,BRA,London,Sailing,Sailing Women's Two Person Dinghy,0,0,0
176456,Nlson Filipe dos Santos Simes Oliveira,M,23.0,180.0,67.0,Portugal,POR,London,Cycling,"Cycling Men's Road Race, Individual",0,0,0
176457,Nlson Filipe dos Santos Simes Oliveira,M,23.0,180.0,67.0,Portugal,POR,London,Cycling,Cycling Men's Individual Time Trial,0,0,0
176463,Nicolas Nilo Csar de Oliveira,M,24.0,195.0,92.0,Brazil,BRA,London,Swimming,Swimming Men's 100 metres Freestyle,0,0,0
176464,Nicolas Nilo Csar de Oliveira,M,24.0,195.0,92.0,Brazil,BRA,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,0,0
176468,Pmella Nascimento de Oliveira,F,24.0,165.0,60.0,Brazil,BRA,London,Triathlon,Triathlon Women's Olympic Distance,0,0,0
176472,Pedro Diogo Tavares Martins de Oliveira,M,24.0,185.0,81.0,Portugal,POR,London,Swimming,Swimming Men's 200 metres Backstroke,0,0,0
176473,Pedro Diogo Tavares Martins de Oliveira,M,24.0,185.0,81.0,Portugal,POR,London,Swimming,Swimming Men's 200 metres Butterfly,0,0,0
176474,Ronilson Matias de Oliveira,M,22.0,180.0,77.0,Brazil,BRA,London,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",0,0,0
176475,Ronilson Matias de Oliveira,M,22.0,180.0,77.0,Brazil,BRA,London,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",0,0,0
176482,Sara de Jesus Freitas de Oliveira,F,26.0,166.0,55.0,Portugal,POR,London,Swimming,Swimming Women's 100 metres Butterfly,0,0,0
176483,Sara de Jesus Freitas de Oliveira,F,26.0,166.0,55.0,Portugal,POR,London,Swimming,Swimming Women's 200 metres Butterfly,0,0,0
176489,Amy Lee Oliver,F,25.0,173.0,62.0,Great Britain,GBR,London,Archery,Archery Women's Individual,0,0,0
176490,Amy Lee Oliver,F,25.0,173.0,62.0,Great Britain,GBR,London,Archery,Archery Women's Team,0,0,0
176507,Jack Simon Oliver,M,21.0,168.0,77.0,Great Britain,GBR,London,Weightlifting,Weightlifting Men's Middleweight,0,0,0
176544,rika Alejandra Olivera de la Fuente,F,36.0,165.0,55.0,Chile,CHI,London,Athletics,Athletics Women's Marathon,0,0,0
176563,Mara Princesa Oliveros Bohrquez,F,36.0,168.0,56.0,Colombia,COL,London,Athletics,Athletics Women's 400 metres Hurdles,0,0,0
176573,Andr Olivier,M,22.0,192.0,76.0,South Africa,RSA,London,Athletics,Athletics Men's 800 metres,0,0,0
176598,Beleynesh Oljira Jemane,F,22.0,165.0,49.0,Ethiopia,ETH,London,Athletics,"Athletics Women's 10,000 metres",0,0,0
176974,Josefin Anna Louise Olsson,F,22.0,172.0,67.0,Sweden,SWE,London,Sailing,Sailing Women's One Person Dinghy,0,0,0
177093,Kieran Peter O'Malley,M,24.0,188.0,78.0,Great Britain,GBR,London,Volleyball,Volleyball Men's Volleyball,0,0,0
177103,Om Yun-Chol,M,20.0,151.0,56.0,North Korea,PRK,London,Weightlifting,Weightlifting Men's Bantamweight,0,1,0
177126,Magomed Shakhbanovich Omarov,M,22.0,195.0,93.0,Russia,RUS,London,Boxing,Boxing Men's Super-Heavyweight,0,0,0
177145,Oleh Petrovych Omelchuk,M,29.0,170.0,68.0,Ukraine,UKR,London,Shooting,"Shooting Men's Air Pistol, 10 metres",0,0,0
177146,Oleh Petrovych Omelchuk,M,29.0,170.0,68.0,Ukraine,UKR,London,Shooting,"Shooting Men's Free Pistol, 50 metres",0,0,0
177159,Yelena Vasilyevna Omelyusik,F,23.0,169.0,52.0,Belarus,BLR,London,Cycling,"Cycling Women's Road Race, Individual",0,0,0
