,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
5260,Kaio Mrcio Ferreira Costa de Almeida,M,27.0,177.0,75.0,Brazil,BRA,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,0,0,0
5263,Luiza Tavares de Almeida,F,20.0,168.0,58.0,Brazil,BRA,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",0,0,0
5268,Nair Felipe Pires de Almeida,F,28.0,181.0,69.0,Angola,ANG,London,Handball,Handball Women's Handball,0,0,0
5284,Johanna Maria-Therese Almgren,F,28.0,170.0,62.0,Sweden,SWE,London,Football,Football Women's Football,0,0,0
5350,Jessica Alonso Bernardo,F,28.0,172.0,65.0,Spain,ESP,London,Handball,Handball Women's Handball,1,0,0
5351,Jonathan Alonso Flete,M,21.0,175.0,64.0,Spain,ESP,London,Boxing,Boxing Men's Light-Welterweight,0,0,0
5382,Kamel Al-Alouini,M,24.0,187.0,86.0,Tunisia,TUN,London,Handball,Handball Men's Handball,0,0,0
5385,"Mikhail Surenovich ""Misha"" Aloyan",M,23.0,164.0,52.0,Russia,RUS,London,Boxing,Boxing Men's Flyweight,1,0,0
5388,Uzodinma Anthony Alozie,M,25.0,171.0,79.0,Australia,AUS,London,Athletics,Athletics Men's 4 x 100 metres Relay,0,0,0
5409,Azza Alqasmi,F,27.0,159.0,73.0,Bahrain,BRN,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",0,0,0
5441,Malin Therse Alshammar,F,34.0,180.0,64.0,Sweden,SWE,London,Swimming,Swimming Women's 50 metres Freestyle,0,0,0
5448,Julio Alsogaray,M,32.0,180.0,81.0,Argentina,ARG,London,Sailing,Sailing Men's One Person Dinghy,0,0,0
5457,Ida Alstad,F,27.0,172.0,60.0,Norway,NOR,London,Handball,Handball Women's Handball,0,1,0
5486,Maria Suelen Altheman,F,23.0,175.0,110.0,Brazil,BRA,London,Judo,Judo Women's Heavyweight,0,0,0
5522,"Eniola ""Eni"" Aluko",F,25.0,157.0,56.0,Great Britain,GBR,London,Football,Football Women's Football,0,0,0
5611,Lzaro Jorge lvarez Estrada,M,21.0,173.0,60.0,Cuba,CUB,London,Boxing,Boxing Men's Bantamweight,1,0,0
5629,Luis Antonio lvarez Murillo,M,21.0,174.0,90.0,Mexico,MEX,London,Archery,Archery Men's Individual,0,0,0
5630,Luis Antonio lvarez Murillo,M,21.0,174.0,90.0,Mexico,MEX,London,Archery,Archery Men's Team,0,0,0
5670,Sergio lvarez Boulet,M,32.0,155.0,56.0,Cuba,CUB,London,Weightlifting,Weightlifting Men's Bantamweight,0,0,0
5689,Yuri Alvear Orjuela,F,26.0,176.0,70.0,Colombia,COL,London,Judo,Judo Women's Middleweight,1,0,0
5720,Thiago Soares Alves,M,25.0,194.0,88.0,Brazil,BRA,London,Volleyball,Volleyball Men's Volleyball,0,0,1
5763,Anna Romzatovna Alyabyeva,F,18.0,174.0,,Kazakhstan,KAZ,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,0,0,0
